"Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","B365H","B365D","B365A"
"SP1","19/08/16","La Coruna","Eibar",2,1,"H",11,12,6,6,14,17,1,8,3,3,0,0,1.95,3.4,4.2
"SP1","19/08/16","Malaga","Osasuna",1,1,"D",14,8,4,3,11,22,5,3,2,3,0,0,1.62,3.75,6
"SP1","20/08/16","Barcelona","Betis",6,2,"H",30,6,12,2,17,13,10,2,1,3,0,0,1.08,11,29
"SP1","20/08/16","Granada","Villarreal",1,1,"D",7,12,1,3,17,11,7,3,2,3,0,0,2.5,3.2,3
"SP1","20/08/16","Sevilla","Espanol",6,4,"H",16,10,11,7,8,15,8,2,2,2,0,0,1.67,4,5
"SP1","21/08/16","Ath Madrid","Alaves",1,1,"D",27,2,6,1,7,15,20,2,0,4,0,0,1.2,6.5,17
"SP1","21/08/16","Sociedad","Real Madrid",0,3,"A",8,18,0,8,22,11,4,7,2,3,0,0,4.75,3.8,1.75
"SP1","21/08/16","Sp Gijon","Ath Bilbao",2,1,"H",12,13,4,4,18,15,2,5,3,3,0,0,4,3.5,1.95
"SP1","22/08/16","Celta","Leganes",0,1,"A",10,15,2,6,5,13,8,4,4,1,0,1,1.65,3.75,5.75
"SP1","22/08/16","Valencia","Las Palmas",2,4,"A",17,6,8,4,15,18,12,1,2,2,0,0,1.73,3.75,5
"SP1","26/08/16","Betis","La Coruna",0,0,"D",15,12,5,1,20,15,13,2,0,2,0,0,2.2,3.2,3.5
"SP1","26/08/16","Espanol","Malaga",2,2,"D",7,9,2,3,20,17,3,4,2,4,0,0,2.3,3.1,3.4
"SP1","27/08/16","Eibar","Valencia",1,0,"H",13,13,6,3,13,11,6,10,2,2,0,0,2.7,3.2,2.75
"SP1","27/08/16","Leganes","Ath Madrid",0,0,"D",6,10,1,3,19,5,1,8,3,1,0,0,8.5,3.6,1.53
"SP1","27/08/16","Osasuna","Sociedad",0,2,"A",8,5,3,4,14,14,10,1,2,1,0,0,3.1,3.1,2.5
"SP1","27/08/16","Real Madrid","Celta",2,1,"H",24,8,10,3,8,11,7,2,0,2,0,0,1.18,7,17
"SP1","28/08/16","Alaves","Sp Gijon",0,0,"D",13,7,2,1,10,12,4,6,1,1,0,0,2.15,3.2,3.75
"SP1","28/08/16","Ath Bilbao","Barcelona",0,1,"A",9,12,4,3,20,13,4,4,5,4,0,0,6.5,4.33,1.5
"SP1","28/08/16","Las Palmas","Granada",5,1,"H",15,13,10,2,8,16,6,4,5,1,0,0,1.91,3.4,4.33
"SP1","28/08/16","Villarreal","Sevilla",0,0,"D",12,6,5,0,16,12,5,1,1,3,0,0,2.5,3.4,2.8
"SP1","09/09/16","Sociedad","Espanol",1,1,"D",9,4,3,1,10,10,11,1,2,2,0,1,2.05,3.4,3.75
"SP1","10/09/16","Barcelona","Alaves",1,2,"A",16,5,2,4,12,12,13,0,1,1,0,0,1.07,12,34
"SP1","10/09/16","Celta","Ath Madrid",0,4,"A",9,13,1,6,13,12,6,4,1,2,0,0,6,3.3,1.73
"SP1","10/09/16","Malaga","Villarreal",0,2,"A",15,12,2,6,8,14,9,7,2,1,0,0,2.3,3.1,3.3
"SP1","10/09/16","Real Madrid","Osasuna",5,2,"H",25,10,11,3,14,14,6,7,2,2,0,1,1.04,15,34
"SP1","10/09/16","Sevilla","Las Palmas",2,1,"H",16,7,7,4,15,13,10,1,2,4,0,1,1.5,4.33,6
"SP1","11/09/16","Granada","Eibar",1,2,"A",15,10,5,8,7,8,6,7,2,0,0,1,2.15,3.25,3.5
"SP1","11/09/16","La Coruna","Ath Bilbao",0,1,"A",16,7,3,2,15,15,7,6,2,3,0,0,3.6,3.25,2.15
"SP1","11/09/16","Sp Gijon","Leganes",2,1,"H",7,9,4,2,12,16,3,5,0,2,0,0,2.25,3.2,3.4
"SP1","11/09/16","Valencia","Betis",2,3,"A",23,12,9,5,15,21,5,5,2,4,1,0,1.65,4.2,5
"SP1","16/09/16","Betis","Granada",2,2,"D",23,15,7,8,13,17,7,3,4,3,1,1,1.73,3.75,5
"SP1","17/09/16","Ath Madrid","Sp Gijon",5,0,"H",18,10,7,1,14,9,1,4,0,2,0,0,1.18,6.5,21
"SP1","17/09/16","Eibar","Sevilla",1,1,"D",10,8,2,4,19,10,4,2,1,1,2,0,3.1,3.3,2.35
"SP1","17/09/16","Las Palmas","Malaga",1,0,"H",6,10,2,2,11,18,2,2,3,1,0,0,2.3,3.25,3.3
"SP1","17/09/16","Leganes","Barcelona",1,5,"A",15,10,6,7,28,7,2,5,4,2,0,0,17,7,1.18
"SP1","18/09/16","Ath Bilbao","Valencia",2,1,"H",13,10,4,2,19,20,7,1,4,4,0,0,1.85,3.6,4.33
"SP1","18/09/16","Espanol","Real Madrid",0,2,"A",11,13,2,7,19,8,4,5,4,2,0,0,7.5,5.5,1.36
"SP1","18/09/16","Osasuna","Celta",0,0,"D",9,13,2,5,18,13,3,5,4,1,0,0,2.9,3.1,2.6
"SP1","18/09/16","Villarreal","Sociedad",2,1,"H",9,15,4,2,13,16,3,6,2,3,0,1,1.85,3.5,4.5
"SP1","19/09/16","Alaves","La Coruna",0,0,"D",9,16,1,1,16,8,4,5,3,4,0,0,2.3,3,3.5
"SP1","20/09/16","Malaga","Eibar",2,1,"H",14,12,6,3,7,13,7,5,2,4,0,0,1.85,3.4,4.75
"SP1","20/09/16","Sevilla","Betis",1,0,"H",12,8,3,3,24,17,6,2,5,4,0,0,1.45,4.5,7
"SP1","21/09/16","Barcelona","Ath Madrid",1,1,"D",19,9,7,4,14,17,8,2,2,4,0,0,1.6,4,5.5
"SP1","21/09/16","Celta","Sp Gijon",2,1,"H",16,4,5,1,16,8,8,0,2,3,0,0,1.57,4,6
"SP1","21/09/16","Granada","Ath Bilbao",1,2,"A",13,13,2,8,8,9,6,3,1,0,0,0,4.5,3.5,1.85
"SP1","21/09/16","Real Madrid","Villarreal",1,1,"D",22,8,6,3,9,9,17,3,4,1,0,0,1.2,7,15
"SP1","21/09/16","Sociedad","Las Palmas",4,1,"H",17,8,7,3,3,7,7,4,1,2,0,1,2,3.5,3.75
"SP1","22/09/16","La Coruna","Leganes",1,2,"A",12,8,5,2,20,18,7,1,0,3,0,0,2.15,3.25,3.6
"SP1","22/09/16","Osasuna","Espanol",1,2,"A",17,10,11,2,16,14,7,1,2,1,0,0,2.88,3.2,2.6
"SP1","22/09/16","Valencia","Alaves",2,1,"H",12,8,2,1,14,13,7,4,2,3,0,0,1.57,3.75,6
"SP1","23/09/16","Betis","Malaga",1,0,"H",11,16,4,6,20,15,6,5,4,6,0,0,2.6,3.1,2.9
"SP1","24/09/16","Ath Bilbao","Sevilla",3,1,"H",14,5,7,2,9,9,4,5,2,2,0,1,2.05,3.4,3.75
"SP1","24/09/16","Eibar","Sociedad",2,0,"H",17,3,3,0,15,13,5,3,4,2,0,1,2.45,3.2,3
"SP1","24/09/16","Las Palmas","Real Madrid",2,2,"D",8,27,6,11,7,19,0,5,3,2,0,0,8.5,5,1.36
"SP1","24/09/16","Sp Gijon","Barcelona",0,5,"A",10,13,3,7,15,10,4,3,1,0,1,0,13,6.5,1.22
"SP1","25/09/16","Ath Madrid","La Coruna",1,0,"H",21,8,5,1,13,19,10,0,1,2,0,1,1.22,5.5,19
"SP1","25/09/16","Espanol","Celta",0,2,"A",10,12,2,4,15,13,4,7,2,3,0,0,2.25,3.3,3.3
"SP1","25/09/16","Leganes","Valencia",1,2,"A",7,10,3,4,19,17,1,5,4,4,0,0,2.8,3.2,2.6
"SP1","25/09/16","Villarreal","Osasuna",3,1,"H",12,11,5,3,7,16,5,5,0,2,0,0,1.4,4.33,9.5
"SP1","26/09/16","Alaves","Granada",3,1,"H",16,13,6,3,15,19,5,6,3,3,0,0,2.1,3.3,3.75
"SP1","30/09/16","Sociedad","Betis",1,0,"H",16,5,8,2,17,22,4,2,2,3,0,0,1.8,3.5,4.75
"SP1","01/10/16","Granada","Leganes",0,1,"A",8,9,1,3,13,20,6,4,1,0,0,0,2.45,3.3,3
"SP1","01/10/16","La Coruna","Sp Gijon",2,1,"H",21,7,6,2,17,26,11,4,0,4,0,0,1.95,3.4,4.2
"SP1","01/10/16","Osasuna","Las Palmas",2,2,"D",5,17,3,5,17,7,1,12,3,4,0,0,2.6,3.2,2.8
"SP1","01/10/16","Sevilla","Alaves",2,1,"H",20,6,12,1,10,13,9,2,2,6,0,0,1.44,4.33,8
"SP1","02/10/16","Celta","Barcelona",4,3,"H",14,13,9,4,16,11,3,6,1,3,0,0,8,4.75,1.4
"SP1","02/10/16","Espanol","Villarreal",0,0,"D",9,5,1,1,14,10,3,1,2,2,0,0,2.88,3.1,2.63
"SP1","02/10/16","Malaga","Ath Bilbao",2,1,"H",15,7,3,1,19,11,7,2,7,3,1,1,2.45,3,3.3
"SP1","02/10/16","Real Madrid","Eibar",1,1,"D",15,7,3,4,8,15,7,5,4,5,0,0,1.08,11,26
"SP1","02/10/16","Valencia","Ath Madrid",0,2,"A",14,17,5,10,10,15,6,5,1,3,0,0,4.5,3.5,1.85
"SP1","14/10/16","Las Palmas","Espanol",0,0,"D",13,5,8,2,13,21,8,4,2,3,0,0,1.95,3.4,4.2
"SP1","15/10/16","Ath Madrid","Granada",7,1,"H",17,9,11,2,14,8,11,3,1,1,0,0,1.13,10,17
"SP1","15/10/16","Barcelona","La Coruna",4,0,"H",25,7,8,0,5,15,8,2,1,2,0,1,1.1,10,26
"SP1","15/10/16","Betis","Real Madrid",1,6,"A",13,22,2,9,14,8,2,5,4,1,0,0,8,5.25,1.36
"SP1","15/10/16","Leganes","Sevilla",2,3,"A",19,5,6,4,17,20,5,2,2,5,0,0,3.4,3.2,2.25
"SP1","16/10/16","Alaves","Malaga",1,1,"D",8,12,4,5,14,14,6,7,3,3,1,1,2.6,3,3
"SP1","16/10/16","Ath Bilbao","Sociedad",3,2,"H",15,6,11,3,17,19,7,4,3,3,0,0,1.83,3.6,4.4
"SP1","16/10/16","Sp Gijon","Valencia",1,2,"A",10,7,2,3,21,11,4,4,5,1,0,0,3.6,3.4,2.1
"SP1","16/10/16","Villarreal","Celta",5,0,"H",11,4,5,1,19,12,3,5,1,4,0,1,1.85,3.4,4.75
"SP1","17/10/16","Eibar","Osasuna",2,3,"A",13,8,5,4,15,12,5,0,1,2,0,0,1.7,3.6,5
"SP1","21/10/16","Osasuna","Betis",1,2,"A",13,12,5,6,20,12,6,4,3,2,1,0,2.4,3.2,3.1
"SP1","22/10/16","Espanol","Eibar",3,3,"D",11,8,5,3,11,12,7,6,1,6,1,0,2.05,3.4,3.8
"SP1","22/10/16","Granada","Sp Gijon",0,0,"D",12,3,1,3,10,12,3,3,4,1,0,0,2.1,3.4,3.6
"SP1","22/10/16","Sociedad","Alaves",3,0,"H",16,10,5,3,17,20,4,2,3,5,0,0,1.67,3.75,5.5
"SP1","22/10/16","Valencia","Barcelona",2,3,"A",7,15,4,8,15,13,3,1,5,4,0,0,7,5.25,1.4
"SP1","23/10/16","Celta","La Coruna",4,1,"H",9,11,7,1,17,15,5,4,3,5,0,0,1.7,3.6,5.5
"SP1","23/10/16","Malaga","Leganes",4,0,"H",24,14,8,5,12,15,5,8,1,3,0,0,1.85,3.3,4.75
"SP1","23/10/16","Real Madrid","Ath Bilbao",2,1,"H",24,10,8,3,10,17,6,4,2,3,0,0,1.2,7,13
"SP1","23/10/16","Sevilla","Ath Madrid",1,0,"H",12,9,5,3,15,11,4,5,4,2,0,1,4,3.5,1.95
"SP1","23/10/16","Villarreal","Las Palmas",2,1,"H",14,8,4,4,16,12,2,1,2,3,0,0,1.67,3.8,5.25
"SP1","28/10/16","Leganes","Sociedad",0,2,"A",7,9,4,5,19,15,1,4,5,2,0,0,2.63,3.1,2.88
"SP1","29/10/16","Alaves","Real Madrid",1,4,"A",8,15,3,5,15,6,4,3,5,1,0,0,13,6.5,1.22
"SP1","29/10/16","Ath Madrid","Malaga",4,2,"H",16,6,7,3,10,10,6,2,2,4,1,1,1.22,6,15
"SP1","29/10/16","Barcelona","Granada",1,0,"H",15,1,5,0,7,17,8,1,1,4,0,0,1.05,17,34
"SP1","29/10/16","Sp Gijon","Sevilla",1,1,"D",9,20,5,6,17,9,3,4,6,2,0,0,3.8,3.6,1.95
"SP1","30/10/16","Ath Bilbao","Osasuna",1,1,"D",18,7,4,3,10,11,9,2,2,1,0,0,1.36,5,8.5
"SP1","30/10/16","Betis","Espanol",0,1,"A",13,10,5,5,15,15,8,3,3,3,0,0,2.25,3.25,3.4
"SP1","30/10/16","Eibar","Villarreal",2,1,"H",13,6,9,1,16,16,3,7,2,3,0,0,3,3.2,2.5
"SP1","30/10/16","Las Palmas","Celta",3,3,"D",17,9,8,6,13,22,8,1,2,6,0,1,2.3,3.3,3.2
"SP1","31/10/16","La Coruna","Valencia",1,1,"D",16,10,4,3,14,21,5,6,1,5,0,0,2.88,3.2,2.55
"SP1","04/11/16","Malaga","Sp Gijon",3,2,"H",22,7,7,4,12,20,9,2,5,4,0,1,1.73,3.6,5.25
"SP1","05/11/16","Granada","La Coruna",1,1,"D",14,13,6,5,11,7,7,6,1,2,0,0,2.6,3.2,2.8
"SP1","05/11/16","Las Palmas","Eibar",1,0,"H",16,13,6,5,10,20,7,4,1,4,0,0,1.91,3.5,4
"SP1","05/11/16","Osasuna","Alaves",0,1,"A",10,12,4,3,18,10,3,4,5,2,0,0,2.25,3.2,3.4
"SP1","05/11/16","Sociedad","Ath Madrid",2,0,"H",12,9,3,2,18,20,6,6,2,4,0,0,5.75,3.6,1.67
"SP1","06/11/16","Celta","Valencia",2,1,"H",7,13,4,4,19,15,4,3,6,1,0,0,2.25,3.4,3.2
"SP1","06/11/16","Espanol","Ath Bilbao",0,0,"D",6,4,3,0,13,11,5,3,1,2,0,0,3,3.2,2.5
"SP1","06/11/16","Real Madrid","Leganes",3,0,"H",17,7,7,3,7,20,2,2,3,5,0,0,1.07,13,23
"SP1","06/11/16","Sevilla","Barcelona",1,2,"A",15,14,4,7,18,12,3,5,4,6,0,0,5.25,4.2,1.62
"SP1","06/11/16","Villarreal","Betis",2,0,"H",15,7,7,3,16,12,10,1,0,2,0,0,1.5,4.2,7
"SP1","18/11/16","Betis","Las Palmas",2,0,"H",10,9,3,3,22,10,4,5,0,1,0,0,2.35,3.4,3.1
"SP1","19/11/16","Ath Madrid","Real Madrid",0,3,"A",16,12,5,7,21,14,8,6,4,2,0,0,2.5,3.3,2.9
"SP1","19/11/16","Barcelona","Malaga",0,0,"D",28,4,8,1,13,12,14,1,0,2,0,2,1.13,9,21
"SP1","19/11/16","Eibar","Celta",1,0,"H",12,6,5,2,11,13,7,0,2,5,0,2,2.38,3.25,3.1
"SP1","19/11/16","La Coruna","Sevilla",2,3,"A",4,20,3,7,15,12,3,14,3,2,0,0,3.3,3.4,2.2
"SP1","20/11/16","Alaves","Espanol",0,1,"A",10,10,4,3,20,14,2,5,5,2,0,0,2.5,3.1,3.1
"SP1","20/11/16","Ath Bilbao","Villarreal",1,0,"H",12,6,5,2,13,17,6,5,0,2,0,0,2.15,3.3,3.5
"SP1","20/11/16","Sp Gijon","Sociedad",1,3,"A",4,20,1,9,17,9,3,5,2,1,0,0,3.4,3.3,2.2
"SP1","20/11/16","Valencia","Granada",1,1,"D",14,9,7,5,7,18,11,2,1,5,0,0,1.33,5.5,8.5
"SP1","21/11/16","Leganes","Osasuna",2,0,"H",15,5,5,2,13,17,3,2,2,3,0,0,1.85,3.5,4.5
"SP1","25/11/16","Eibar","Betis",3,1,"H",16,7,9,2,11,7,5,1,0,1,0,1,1.95,3.4,4.2
"SP1","26/11/16","Espanol","Leganes",3,0,"H",8,8,4,3,19,16,3,4,1,2,0,0,1.85,3.4,4.75
"SP1","26/11/16","Malaga","La Coruna",4,3,"H",10,24,4,8,15,13,2,5,3,1,0,0,2,3.25,4.2
"SP1","26/11/16","Real Madrid","Sp Gijon",2,1,"H",19,9,7,3,19,18,5,6,1,3,0,0,1.06,13,34
"SP1","26/11/16","Sevilla","Valencia",2,1,"H",6,10,1,4,19,14,3,6,0,1,0,0,1.73,3.75,5
"SP1","27/11/16","Celta","Granada",3,1,"H",16,7,6,1,4,15,5,0,0,3,0,0,1.53,4,7
"SP1","27/11/16","Osasuna","Ath Madrid",0,3,"A",11,7,1,5,9,6,7,4,2,2,0,0,11,5.25,1.3
"SP1","27/11/16","Sociedad","Barcelona",1,1,"D",17,10,6,2,16,11,8,6,2,4,0,0,7,4.75,1.44
"SP1","27/11/16","Villarreal","Alaves",0,2,"A",23,10,10,7,11,19,12,1,2,3,0,0,1.5,4,7.5
"SP1","28/11/16","Las Palmas","Ath Bilbao",3,1,"H",10,10,4,3,19,21,5,3,3,4,0,1,2.5,3.4,2.8
"SP1","03/12/16","Ath Madrid","Espanol",0,0,"D",11,5,3,3,10,19,9,2,2,2,0,0,1.22,6,15
"SP1","03/12/16","Barcelona","Real Madrid",1,1,"D",11,14,2,5,19,16,5,7,4,2,0,0,1.85,4.2,4.2
"SP1","03/12/16","Granada","Sevilla",2,1,"H",11,17,6,6,18,16,4,8,5,2,0,0,4.75,3.5,1.8
"SP1","03/12/16","Leganes","Villarreal",0,0,"D",11,9,4,3,21,16,2,4,6,3,0,0,3.8,2.9,2.25
"SP1","04/12/16","Alaves","Las Palmas",1,1,"D",9,10,2,3,15,11,3,5,3,3,0,0,2.5,3.2,3
"SP1","04/12/16","Ath Bilbao","Eibar",3,1,"H",12,10,5,4,9,16,2,2,1,4,0,0,1.85,3.4,4.75
"SP1","04/12/16","Betis","Celta",3,3,"D",16,13,5,6,22,14,4,3,4,1,1,0,2.38,3.25,3.1
"SP1","04/12/16","Sp Gijon","Osasuna",3,1,"H",9,15,5,2,17,13,2,5,3,1,0,0,2,3.3,4
"SP1","04/12/16","Valencia","Malaga",2,2,"D",8,19,3,6,16,7,2,13,5,1,0,0,1.75,3.6,5
"SP1","05/12/16","La Coruna","Sociedad",5,1,"H",15,14,10,3,15,10,8,6,1,4,0,0,3.1,3.1,2.5
"SP1","09/12/16","Malaga","Granada",1,1,"D",16,8,7,2,16,14,6,2,3,5,0,0,1.6,4,5.75
"SP1","10/12/16","Las Palmas","Leganes",1,1,"D",5,11,1,6,17,18,6,4,3,3,0,0,1.8,3.5,4.75
"SP1","10/12/16","Osasuna","Barcelona",0,3,"A",4,17,1,6,18,6,2,5,3,0,0,0,15,7.5,1.18
"SP1","10/12/16","Real Madrid","La Coruna",3,2,"H",17,4,5,2,16,17,10,3,3,4,0,0,1.17,8,15
"SP1","10/12/16","Sociedad","Valencia",3,2,"H",14,9,6,3,17,20,8,4,4,4,0,1,1.91,3.75,3.8
"SP1","11/12/16","Betis","Ath Bilbao",1,0,"H",6,14,1,4,14,12,3,7,3,2,0,0,3.1,3.25,2.38
"SP1","11/12/16","Celta","Sevilla",0,3,"A",14,14,6,5,13,13,4,6,3,3,0,0,2.75,3.3,2.63
"SP1","11/12/16","Eibar","Alaves",0,0,"D",8,3,1,3,14,7,7,2,1,1,0,0,1.83,3.6,4.5
"SP1","11/12/16","Espanol","Sp Gijon",2,1,"H",12,13,6,5,13,10,4,3,1,2,0,0,1.73,3.75,5
"SP1","12/12/16","Villarreal","Ath Madrid",3,0,"H",9,13,5,3,13,13,2,7,3,3,0,0,4.5,3.5,1.85
"SP1","16/12/16","Alaves","Betis",1,0,"H",10,6,2,3,20,6,6,4,6,1,0,0,2.3,3.1,3.4
"SP1","17/12/16","Ath Madrid","Las Palmas",1,0,"H",16,11,3,3,15,11,8,5,2,1,0,0,1.29,5.5,9.5
"SP1","17/12/16","Granada","Sociedad",0,2,"A",10,18,4,6,9,11,5,9,0,1,0,0,3.75,3.4,2
"SP1","17/12/16","Sevilla","Malaga",4,1,"H",9,16,5,3,17,12,3,6,2,3,1,0,1.5,4.1,6.5
"SP1","17/12/16","Sp Gijon","Villarreal",1,3,"A",16,14,7,9,16,14,12,2,2,1,0,0,3.25,3.3,2.2
"SP1","18/12/16","Barcelona","Espanol",4,1,"H",14,4,7,1,11,16,5,2,0,3,0,0,1.1,10,26
"SP1","18/12/16","La Coruna","Osasuna",2,0,"H",8,13,4,3,8,16,5,1,1,3,0,0,1.57,3.75,6
"SP1","18/12/16","Leganes","Eibar",1,1,"D",8,15,2,4,10,10,3,6,2,2,1,0,2.55,3.1,2.88
"SP1","19/12/16","Ath Bilbao","Celta",2,1,"H",10,10,7,4,16,13,9,7,4,2,0,1,1.83,3.5,4.33
"SP1","06/01/17","Espanol","La Coruna",1,1,"D",14,13,4,3,13,14,2,8,1,1,0,1,2.05,3.3,3.8
"SP1","07/01/17","Eibar","Ath Madrid",0,2,"A",15,8,2,4,11,10,5,3,2,2,0,0,5.5,3.5,1.73
"SP1","07/01/17","Las Palmas","Sp Gijon",1,0,"H",16,10,10,2,8,18,8,3,2,3,0,0,1.67,3.75,5.5
"SP1","07/01/17","Real Madrid","Granada",5,0,"H",23,3,13,1,11,12,9,1,1,4,0,0,1.07,13,26
"SP1","07/01/17","Sociedad","Sevilla",0,4,"A",11,11,5,10,15,18,7,4,2,3,0,0,2.25,3.4,3.2
"SP1","08/01/17","Ath Bilbao","Alaves",0,0,"D",15,10,4,4,10,13,13,4,2,4,0,0,1.53,3.8,7.5
"SP1","08/01/17","Betis","Leganes",2,0,"H",16,9,3,3,10,20,4,2,2,6,0,0,2.1,3.25,3.75
"SP1","08/01/17","Celta","Malaga",3,1,"H",6,13,3,4,17,15,2,7,1,4,0,0,1.85,3.6,4.33
"SP1","08/01/17","Villarreal","Barcelona",1,1,"D",6,20,3,7,16,13,2,4,1,2,1,0,6,4.33,1.53
"SP1","09/01/17","Osasuna","Valencia",3,3,"D",22,7,4,3,19,13,7,3,2,5,0,0,4,3.5,1.95
"SP1","14/01/17","Ath Madrid","Betis",1,0,"H",6,10,3,6,15,17,9,2,1,3,0,0,1.2,6.5,17
"SP1","14/01/17","Barcelona","Las Palmas",5,0,"H",22,7,10,1,15,11,5,1,3,4,0,0,1.1,11,26
"SP1","14/01/17","La Coruna","Villarreal",0,0,"D",13,4,3,1,14,8,10,0,0,1,0,0,2.7,3.1,2.8
"SP1","14/01/17","Leganes","Ath Bilbao",0,0,"D",15,10,5,2,20,11,4,8,3,3,0,0,3.25,3.1,2.38
"SP1","15/01/17","Celta","Alaves",1,0,"H",13,9,4,1,19,10,7,4,4,3,0,1,1.7,3.75,5.25
"SP1","15/01/17","Granada","Osasuna",1,1,"D",8,13,4,3,13,23,3,5,2,4,2,0,2.05,3.4,3.8
"SP1","15/01/17","Sevilla","Real Madrid",2,1,"H",9,10,4,3,13,10,6,1,3,1,0,0,3.6,3.8,1.95
"SP1","15/01/17","Sp Gijon","Eibar",2,3,"A",10,18,4,7,13,16,2,4,4,0,0,0,2.9,3.1,2.6
"SP1","15/01/17","Valencia","Espanol",2,1,"H",10,6,5,3,17,13,6,3,5,0,0,0,1.91,3.6,4
"SP1","16/01/17","Malaga","Sociedad",0,2,"A",5,11,1,5,22,12,8,8,0,2,0,0,2.4,3.3,3
"SP1","20/01/17","Las Palmas","La Coruna",1,1,"D",9,7,3,1,13,8,4,5,0,1,1,0,2.25,3.3,3.3
"SP1","21/01/17","Alaves","Leganes",2,2,"D",8,13,3,4,9,20,4,3,3,2,0,0,2.2,3.1,3.6
"SP1","21/01/17","Espanol","Granada",3,1,"H",17,7,8,4,19,17,10,5,0,3,0,0,1.57,4,6
"SP1","21/01/17","Real Madrid","Malaga",2,1,"H",14,10,7,6,7,20,5,4,2,3,0,0,1.13,10,17
"SP1","21/01/17","Villarreal","Valencia",0,2,"A",20,13,5,5,14,17,7,2,2,2,0,0,1.85,3.6,4.33
"SP1","22/01/17","Ath Bilbao","Ath Madrid",2,2,"D",8,11,5,5,12,9,2,6,2,3,0,0,4,3.2,2.05
"SP1","22/01/17","Betis","Sp Gijon",0,0,"D",16,7,4,1,14,20,9,5,2,2,0,0,1.73,3.6,5.25
"SP1","22/01/17","Eibar","Barcelona",0,4,"A",14,14,6,7,12,4,8,5,3,1,0,0,9.5,6,1.29
"SP1","22/01/17","Osasuna","Sevilla",3,4,"A",14,13,7,9,14,8,3,6,5,3,0,0,6,4.33,1.53
"SP1","22/01/17","Sociedad","Celta",1,0,"H",17,11,6,5,13,12,4,3,2,2,0,0,1.95,3.6,3.8
"SP1","27/01/17","Osasuna","Malaga",1,1,"D",14,14,2,5,9,16,4,6,1,0,0,0,2.88,3.3,2.5
"SP1","28/01/17","Alaves","Ath Madrid",0,0,"D",19,8,4,2,19,18,7,2,3,2,0,0,6,3.6,1.62
"SP1","28/01/17","Eibar","La Coruna",3,1,"H",12,20,6,7,14,7,9,10,0,2,0,0,2.1,3.25,3.75
"SP1","28/01/17","Leganes","Celta",0,2,"A",6,3,0,3,20,14,8,0,1,1,0,0,2.3,3.1,3.4
"SP1","28/01/17","Villarreal","Granada",2,0,"H",18,7,6,0,11,18,7,4,3,2,0,0,1.36,4.75,9.5
"SP1","29/01/17","Ath Bilbao","Sp Gijon",2,1,"H",11,5,6,3,11,22,5,0,4,3,0,0,1.36,4.75,9.5
"SP1","29/01/17","Betis","Barcelona",1,1,"D",17,10,7,4,17,12,8,2,2,3,0,0,12,6,1.25
"SP1","29/01/17","Espanol","Sevilla",3,1,"H",16,12,8,5,18,14,7,4,2,2,0,1,3.3,3.4,2.2
"SP1","29/01/17","Real Madrid","Sociedad",3,0,"H",7,9,4,3,16,11,0,3,2,1,0,1,1.25,6.5,10
"SP1","30/01/17","Las Palmas","Valencia",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,3.4,2.8
